dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label,pca_variance
mnist,none,mahalanobis,784,0.8476666666666667,0.15233333333333332,,14000,6000,0,0.3,Raw Data,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,1,0.2805,0.7195,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,2,0.3335,0.6665,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,5,0.6173333333333333,0.3826666666666667,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,10,0.7255,0.27449999999999997,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,15,0.7685,0.23150000000000004,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,20,0.7925,0.20750000000000002,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,30,0.8171666666666667,0.1828333333333333,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,40,0.8306666666666667,0.16933333333333334,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,50,0.833,0.16700000000000004,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,75,0.845,0.15500000000000003,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,100,0.847,0.15300000000000002,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,150,0.852,0.14800000000000002,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,200,0.8523333333333334,0.1476666666666666,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,pca,mahalanobis,300,0.8508333333333333,0.14916666666666667,,14000,6000,0,0.3,PCA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,1,0.373,0.627,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,2,0.5473333333333333,0.45266666666666666,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,3,0.7181666666666666,0.2818333333333334,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,4,0.7843333333333333,0.21566666666666667,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,5,0.7943333333333333,0.20566666666666666,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,6,0.8031666666666667,0.1968333333333333,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,7,0.8225,0.1775,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,8,0.8415,0.15849999999999997,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,lda,mahalanobis,9,0.8403333333333334,0.15966666666666662,,14000,6000,0,0.3,LDA,The minimum Mahalanobis distance classifier,
mnist,pca90_lda,mahalanobis,1,0.3755,0.6245,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca90_lda,mahalanobis,2,0.5336666666666666,0.4663333333333334,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca90_lda,mahalanobis,3,0.7248333333333333,0.27516666666666667,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca90_lda,mahalanobis,4,0.7873333333333333,0.21266666666666667,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca90_lda,mahalanobis,5,0.8036666666666666,0.19633333333333336,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca90_lda,mahalanobis,6,0.8081666666666667,0.1918333333333333,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca90_lda,mahalanobis,7,0.8286666666666667,0.17133333333333334,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca90_lda,mahalanobis,8,0.8513333333333334,0.1486666666666666,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca90_lda,mahalanobis,9,0.8516666666666667,0.14833333333333332,205,14000,6000,0,0.3,PCA (>90%) +LDA,The minimum Mahalanobis distance classifier,0.9
mnist,pca95_lda,mahalanobis,1,0.372,0.628,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca95_lda,mahalanobis,2,0.5438333333333333,0.4561666666666667,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca95_lda,mahalanobis,3,0.7241666666666666,0.2758333333333334,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca95_lda,mahalanobis,4,0.7913333333333333,0.20866666666666667,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca95_lda,mahalanobis,5,0.803,0.19699999999999995,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca95_lda,mahalanobis,6,0.8131666666666667,0.1868333333333333,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca95_lda,mahalanobis,7,0.8308333333333333,0.1691666666666667,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca95_lda,mahalanobis,8,0.8506666666666667,0.14933333333333332,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca95_lda,mahalanobis,9,0.8495,0.15049999999999997,292,14000,6000,0,0.3,PCA (>95%) +LDA,The minimum Mahalanobis distance classifier,0.95
mnist,pca99_lda,mahalanobis,1,0.37,0.63,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,pca99_lda,mahalanobis,2,0.548,0.45199999999999996,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,pca99_lda,mahalanobis,3,0.724,0.276,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,pca99_lda,mahalanobis,4,0.7868333333333334,0.21316666666666662,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,pca99_lda,mahalanobis,5,0.7985,0.2015,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,pca99_lda,mahalanobis,6,0.8086666666666666,0.19133333333333336,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,pca99_lda,mahalanobis,7,0.8293333333333334,0.17066666666666663,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,pca99_lda,mahalanobis,8,0.8453333333333334,0.15466666666666662,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,pca99_lda,mahalanobis,9,0.846,0.15400000000000003,500,14000,6000,0,0.3,PCA (>99%) +LDA,The minimum Mahalanobis distance classifier,0.99
mnist,none,logreg,784,0.8873333333333333,0.11266666666666669,,14000,6000,0,0.3,Raw Data,linear classifier,
mnist,pca,logreg,1,0.28583333333333333,0.7141666666666666,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,2,0.3348333333333333,0.6651666666666667,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,5,0.6301666666666667,0.36983333333333335,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,10,0.7745,0.22550000000000003,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,15,0.8256666666666667,0.17433333333333334,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,20,0.8471666666666666,0.15283333333333338,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,30,0.8665,0.13349999999999995,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,40,0.8835,0.11650000000000005,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,50,0.888,0.11199999999999999,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,75,0.8973333333333333,0.10266666666666668,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,100,0.9001666666666667,0.09983333333333333,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,150,0.9083333333333333,0.09166666666666667,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,200,0.9056666666666666,0.09433333333333338,,14000,6000,0,0.3,PCA,linear classifier,
mnist,pca,logreg,300,0.9003333333333333,0.09966666666666668,,14000,6000,0,0.3,PCA,linear classifier,
mnist,lda,logreg,1,0.345,0.655,,14000,6000,0,0.3,LDA,linear classifier,
mnist,lda,logreg,2,0.5175,0.48250000000000004,,14000,6000,0,0.3,LDA,linear classifier,
mnist,lda,logreg,3,0.6925,0.3075,,14000,6000,0,0.3,LDA,linear classifier,
mnist,lda,logreg,4,0.7745,0.22550000000000003,,14000,6000,0,0.3,LDA,linear classifier,
mnist,lda,logreg,5,0.7905,0.20950000000000002,,14000,6000,0,0.3,LDA,linear classifier,
mnist,lda,logreg,6,0.8116666666666666,0.18833333333333335,,14000,6000,0,0.3,LDA,linear classifier,
mnist,lda,logreg,7,0.837,0.16300000000000003,,14000,6000,0,0.3,LDA,linear classifier,
mnist,lda,logreg,8,0.8528333333333333,0.14716666666666667,,14000,6000,0,0.3,LDA,linear classifier,
mnist,lda,logreg,9,0.8581666666666666,0.14183333333333337,,14000,6000,0,0.3,LDA,linear classifier,
mnist,pca90_lda,logreg,1,0.3431666666666667,0.6568333333333334,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca90_lda,logreg,2,0.4965,0.5035000000000001,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca90_lda,logreg,3,0.6991666666666667,0.3008333333333333,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca90_lda,logreg,4,0.7881666666666667,0.21183333333333332,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca90_lda,logreg,5,0.8045,0.1955,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca90_lda,logreg,6,0.8153333333333334,0.18466666666666665,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca90_lda,logreg,7,0.8415,0.15849999999999997,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca90_lda,logreg,8,0.8666666666666667,0.1333333333333333,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca90_lda,logreg,9,0.8701666666666666,0.12983333333333336,205,14000,6000,0,0.3,PCA (>90%) +LDA,linear classifier,0.9
mnist,pca95_lda,logreg,1,0.3416666666666667,0.6583333333333333,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca95_lda,logreg,2,0.5101666666666667,0.48983333333333334,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca95_lda,logreg,3,0.6991666666666667,0.3008333333333333,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca95_lda,logreg,4,0.7835,0.21650000000000003,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca95_lda,logreg,5,0.8065,0.1935,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca95_lda,logreg,6,0.8225,0.1775,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca95_lda,logreg,7,0.843,0.15700000000000003,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca95_lda,logreg,8,0.8656666666666667,0.1343333333333333,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca95_lda,logreg,9,0.8713333333333333,0.1286666666666667,292,14000,6000,0,0.3,PCA (>95%) +LDA,linear classifier,0.95
mnist,pca99_lda,logreg,1,0.3383333333333333,0.6616666666666666,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,pca99_lda,logreg,2,0.5193333333333333,0.4806666666666667,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,pca99_lda,logreg,3,0.6981666666666667,0.3018333333333333,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,pca99_lda,logreg,4,0.7781666666666667,0.22183333333333333,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,pca99_lda,logreg,5,0.7978333333333333,0.20216666666666672,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,pca99_lda,logreg,6,0.8181666666666667,0.1818333333333333,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,pca99_lda,logreg,7,0.842,0.15800000000000003,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,pca99_lda,logreg,8,0.8606666666666667,0.1393333333333333,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,pca99_lda,logreg,9,0.8628333333333333,0.13716666666666666,500,14000,6000,0,0.3,PCA (>99%) +LDA,linear classifier,0.99
mnist,none,knn,784,0.9183333333333333,0.08166666666666667,,14000,6000,0,0.3,Raw Data,KNN-1,
mnist,pca,knn,1,0.22066666666666668,0.7793333333333333,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,2,0.2826666666666667,0.7173333333333334,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,5,0.6788333333333333,0.3211666666666667,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,10,0.8675,0.13249999999999995,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,15,0.9096666666666666,0.09033333333333338,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,20,0.9216666666666666,0.07833333333333337,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,30,0.9296666666666666,0.07033333333333336,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,40,0.9368333333333333,0.0631666666666667,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,50,0.9355,0.0645,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,75,0.9356666666666666,0.06433333333333335,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,100,0.9396666666666667,0.06033333333333335,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,150,0.9313333333333333,0.06866666666666665,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,200,0.929,0.07099999999999995,,14000,6000,0,0.3,PCA,KNN-1,
mnist,pca,knn,300,0.9225,0.07750000000000001,,14000,6000,0,0.3,PCA,KNN-1,
mnist,lda,knn,1,0.2886666666666667,0.7113333333333334,,14000,6000,0,0.3,LDA,KNN-1,
mnist,lda,knn,2,0.468,0.532,,14000,6000,0,0.3,LDA,KNN-1,
mnist,lda,knn,3,0.6596666666666666,0.3403333333333334,,14000,6000,0,0.3,LDA,KNN-1,
mnist,lda,knn,4,0.7463333333333333,0.2536666666666667,,14000,6000,0,0.3,LDA,KNN-1,
mnist,lda,knn,5,0.767,0.23299999999999998,,14000,6000,0,0.3,LDA,KNN-1,
mnist,lda,knn,6,0.799,0.20099999999999996,,14000,6000,0,0.3,LDA,KNN-1,
mnist,lda,knn,7,0.8473333333333334,0.15266666666666662,,14000,6000,0,0.3,LDA,KNN-1,
mnist,lda,knn,8,0.867,0.133,,14000,6000,0,0.3,LDA,KNN-1,
mnist,lda,knn,9,0.8745,0.12549999999999994,,14000,6000,0,0.3,LDA,KNN-1,
mnist,pca90_lda,knn,1,0.2775,0.7224999999999999,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca90_lda,knn,2,0.43783333333333335,0.5621666666666667,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca90_lda,knn,3,0.671,0.32899999999999996,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca90_lda,knn,4,0.7596666666666667,0.2403333333333333,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca90_lda,knn,5,0.7823333333333333,0.21766666666666667,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca90_lda,knn,6,0.8161666666666667,0.1838333333333333,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca90_lda,knn,7,0.8551666666666666,0.14483333333333337,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca90_lda,knn,8,0.8826666666666667,0.11733333333333329,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca90_lda,knn,9,0.8915,0.10850000000000004,205,14000,6000,0,0.3,PCA (>90%) +LDA,KNN-1,0.9
mnist,pca95_lda,knn,1,0.2801666666666667,0.7198333333333333,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca95_lda,knn,2,0.4695,0.5305,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca95_lda,knn,3,0.6698333333333333,0.3301666666666667,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca95_lda,knn,4,0.7608333333333334,0.23916666666666664,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca95_lda,knn,5,0.78,0.21999999999999997,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca95_lda,knn,6,0.8161666666666667,0.1838333333333333,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca95_lda,knn,7,0.8531666666666666,0.14683333333333337,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca95_lda,knn,8,0.8801666666666667,0.11983333333333335,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca95_lda,knn,9,0.886,0.11399999999999999,292,14000,6000,0,0.3,PCA (>95%) +LDA,KNN-1,0.95
mnist,pca99_lda,knn,1,0.2841666666666667,0.7158333333333333,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,pca99_lda,knn,2,0.4648333333333333,0.5351666666666667,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,pca99_lda,knn,3,0.6606666666666666,0.3393333333333334,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,pca99_lda,knn,4,0.749,0.251,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,pca99_lda,knn,5,0.7796666666666666,0.22033333333333338,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,pca99_lda,knn,6,0.8083333333333333,0.19166666666666665,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,pca99_lda,knn,7,0.852,0.14800000000000002,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,pca99_lda,knn,8,0.8735,0.12649999999999995,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,pca99_lda,knn,9,0.8803333333333333,0.1196666666666667,500,14000,6000,0,0.3,PCA (>99%) +LDA,KNN-1,0.99
mnist,none,knn,784,0.9206666666666666,0.07933333333333337,,14000,6000,0,0.3,Raw Data,KNN-5,
mnist,pca,knn,1,0.25983333333333336,0.7401666666666666,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,2,0.3175,0.6825,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,5,0.724,0.276,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,10,0.8893333333333333,0.11066666666666669,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,15,0.9186666666666666,0.08133333333333337,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,20,0.9288333333333333,0.07116666666666671,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,30,0.938,0.062000000000000055,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,40,0.941,0.05900000000000005,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,50,0.9415,0.058499999999999996,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,75,0.9425,0.057499999999999996,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,100,0.9398333333333333,0.0601666666666667,,14000,6000,0,0.3,PCA,KNN-5,
mnist,pca,knn,150,0.9356666666666666,0.06433333333333335,,14000,6000,0,0.3,PCA,KNN-5,
