dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label
mnist,pca,knn,1,0.22066666666666668,0.7793333333333333,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,2,0.2826666666666667,0.7173333333333334,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,5,0.6788333333333333,0.3211666666666667,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,10,0.8675,0.13249999999999995,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,15,0.9096666666666666,0.09033333333333338,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,20,0.9216666666666666,0.07833333333333337,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,30,0.9296666666666666,0.07033333333333336,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,40,0.9368333333333333,0.0631666666666667,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,50,0.9355,0.0645,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,75,0.9356666666666666,0.06433333333333335,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,100,0.9396666666666667,0.06033333333333335,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,150,0.9313333333333333,0.06866666666666665,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,200,0.929,0.07099999999999995,,14000,6000,0,0.3,PCA,KNN-1
mnist,pca,knn,300,0.9225,0.07750000000000001,,14000,6000,0,0.3,PCA,KNN-1
