dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label
mnist,pca,rf,1,0.22066666666666668,0.7793333333333333,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,2,0.32133333333333336,0.6786666666666666,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,5,0.7358333333333333,0.26416666666666666,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,10,0.8811666666666667,0.11883333333333335,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,15,0.9106666666666666,0.08933333333333338,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,20,0.9186666666666666,0.08133333333333337,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,30,0.9243333333333333,0.07566666666666666,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,40,0.9255,0.07450000000000001,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,50,0.9295,0.07050000000000001,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,75,0.9315,0.0685,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,100,0.929,0.07099999999999995,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,150,0.9286666666666666,0.07133333333333336,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,200,0.9248333333333333,0.07516666666666671,,14000,6000,0,0.3,PCA,Random Forest
mnist,pca,rf,300,0.9185,0.08150000000000002,,14000,6000,0,0.3,PCA,Random Forest
