dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,lda,knn,1,0.175,0.825,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,2,0.43333333333333335,0.5666666666666667,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,3,0.6916666666666667,0.30833333333333335,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,4,0.7583333333333333,0.2416666666666667,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,5,0.825,0.17500000000000004,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,6,0.875,0.125,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,7,0.9083333333333333,0.09166666666666667,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,8,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,9,0.9583333333333334,0.04166666666666663,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,10,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,15,0.9666666666666667,0.033333333333333326,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,20,0.9583333333333334,0.04166666666666663,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,25,0.9583333333333334,0.04166666666666663,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,30,0.9583333333333334,0.04166666666666663,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,35,0.9666666666666667,0.033333333333333326,,280,120,0,0.3,LDA,KNN-1
olivetti_faces,lda,knn,39,0.9666666666666667,0.033333333333333326,,280,120,0,0.3,LDA,KNN-1
