dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca,knn,1,0.20833333333333334,0.7916666666666666,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,2,0.35,0.65,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,5,0.7666666666666667,0.23333333333333328,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,10,0.9,0.09999999999999998,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,15,0.9166666666666666,0.08333333333333337,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,20,0.9166666666666666,0.08333333333333337,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,30,0.925,0.07499999999999996,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,40,0.9333333333333333,0.06666666666666665,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,50,0.9333333333333333,0.06666666666666665,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,75,0.925,0.07499999999999996,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,100,0.9333333333333333,0.06666666666666665,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,150,0.9333333333333333,0.06666666666666665,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,200,0.9333333333333333,0.06666666666666665,,280,120,0,0.3,PCA,KNN-1
olivetti_faces,pca,knn,280,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,KNN-1
