dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,pca_variance,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca95_lda,knn,1,0.2,0.8,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,2,0.5083333333333333,0.4916666666666667,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,3,0.7,0.30000000000000004,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,4,0.8666666666666667,0.1333333333333333,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,5,0.8666666666666667,0.1333333333333333,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,6,0.9083333333333333,0.09166666666666667,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,7,0.9416666666666667,0.05833333333333335,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,8,0.9666666666666667,0.033333333333333326,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,9,0.975,0.025000000000000022,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,10,0.9833333333333333,0.01666666666666672,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,15,0.9916666666666667,0.008333333333333304,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,20,0.9916666666666667,0.008333333333333304,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,25,0.9916666666666667,0.008333333333333304,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,30,0.9916666666666667,0.008333333333333304,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,35,0.9916666666666667,0.008333333333333304,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
olivetti_faces,pca95_lda,knn,39,0.9916666666666667,0.008333333333333304,103,0.95,280,120,0,0.3,PCA (>95%) +LDA,KNN-1
