dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca,logreg,1,0.06666666666666667,0.9333333333333333,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,2,0.14166666666666666,0.8583333333333334,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,5,0.49166666666666664,0.5083333333333333,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,10,0.8833333333333333,0.1166666666666667,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,15,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,20,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,30,0.9583333333333334,0.04166666666666663,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,40,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,50,0.9916666666666667,0.008333333333333304,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,75,0.9833333333333333,0.01666666666666672,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,100,0.975,0.025000000000000022,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,150,0.9583333333333334,0.04166666666666663,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,200,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,linear classifier
olivetti_faces,pca,logreg,280,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,linear classifier
