dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,pca_variance,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca90_lda,logreg,1,0.08333333333333333,0.9166666666666666,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,2,0.25833333333333336,0.7416666666666667,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,3,0.4,0.6,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,4,0.575,0.42500000000000004,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,5,0.6833333333333333,0.31666666666666665,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,6,0.775,0.22499999999999998,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,7,0.85,0.15000000000000002,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,8,0.9,0.09999999999999998,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,9,0.95,0.050000000000000044,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,10,0.95,0.050000000000000044,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,15,0.9666666666666667,0.033333333333333326,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,20,0.975,0.025000000000000022,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,25,0.9666666666666667,0.033333333333333326,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,30,0.9833333333333333,0.01666666666666672,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,35,0.9833333333333333,0.01666666666666672,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
olivetti_faces,pca90_lda,logreg,39,0.9833333333333333,0.01666666666666672,59,0.9,280,120,0,0.3,PCA (>90%) +LDA,linear classifier
