dataset,reducer,classifier,dim,accuracy,error_rate,pca_dim,n_train,n_test,random_state,test_size,method_label,classifier_label
olivetti_faces,pca,rf,1,0.20833333333333334,0.7916666666666666,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,2,0.3,0.7,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,5,0.7166666666666667,0.2833333333333333,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,10,0.8666666666666667,0.1333333333333333,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,15,0.9083333333333333,0.09166666666666667,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,20,0.9333333333333333,0.06666666666666665,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,30,0.925,0.07499999999999996,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,40,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,50,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,75,0.9416666666666667,0.05833333333333335,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,100,0.925,0.07499999999999996,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,150,0.9583333333333334,0.04166666666666663,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,200,0.95,0.050000000000000044,,280,120,0,0.3,PCA,Random Forest
olivetti_faces,pca,rf,280,0.925,0.07499999999999996,,280,120,0,0.3,PCA,Random Forest
